product_id,branch_id,product_name,category,current_stock,last_sales_date
P012,HYD001,Brake Pad BP-40,Brakes,106209,1 year 8 mons 19 days
P023,DEL001,Idler Wheel IW-55,Undercarriage,113718,1 year 8 mons 17 days
P011,HYD001,Hydraulic Cylinder HC-200,Hydraulic,107771,1 year 8 mons 16 days
P027,HYD001,O-Ring Set OR-50,Seals,104746,1 year 8 mons 15 days
P017,PUN001,Fan Belt FB-30,Belts,104847,1 year 8 mons 13 days
P012,DEL001,Brake Pad BP-40,Brakes,119923,1 year 8 mons 12 days
P018,AHM001,Wheel Rim WR-24,Undercarriage,101420,1 year 8 mons 12 days
P030,DEL001,Fuel Pump FP-350,Engine,103131,1 year 8 mons 11 days
P002,KOL001,Engine Oil Filter OF-90,Filters,107584,1 year 8 mons 11 days
P002,HYD001,Engine Oil Filter OF-90,Filters,121013,1 year 8 mons 10 days
P009,DEL001,Starter Motor SM-700,Electrical,102816,1 year 8 mons 8 days
P019,DEL001,Swing Motor SWM-350,Hydraulic,118200,1 year 8 mons 8 days
P026,CHN001,Grease Cartridge GC-5,Lubricants,108895,1 year 8 mons 7 days
P003,DEL001,Air Filter AF-120,Filters,104884,1 year 8 mons 7 days
P028,DEL001,Light Assembly LA-18,Electrical,106744,1 year 8 mons 7 days
P004,DEL001,Track Chain TC-45,Undercarriage,110145,1 year 8 mons 7 days
P007,CHN001,Hydraulic Hose HH-60,Hydraulic,108692,1 year 8 mons 6 days
P005,CHN001,Fuel Injector FI-220,Engine,114267,1 year 8 mons 4 days
P028,CHN001,Light Assembly LA-18,Electrical,103464,1 year 8 mons 4 days
P021,AHM001,Boom Cylinder BC-400,Hydraulic,108168,1 year 8 mons 3 days
P016,AHM001,Radiator RD-250,Cooling,110893,1 year 8 mons 3 days
P006,AHM001,Alternator ALT-500,Electrical,107359,1 year 8 mons 3 days
P007,AHM001,Hydraulic Hose HH-60,Hydraulic,106222,1 year 8 mons 3 days
P018,CHN001,Wheel Rim WR-24,Undercarriage,113318,1 year 8 mons 3 days
P024,CHN001,Track Roller TR-60,Undercarriage,107215,1 year 8 mons 3 days
P025,AHM001,Cabin Glass CG-20,Cabin,97512,1 year 8 mons 3 days
P009,CHN001,Starter Motor SM-700,Electrical,111456,1 year 8 mons 3 days
P010,CHN001,Turbocharger TB-900,Engine,113425,1 year 8 mons 2 days
P022,HYD001,Control Valve CV-75,Hydraulic,112997,1 year 8 mons 2 days
P006,KOL001,Alternator ALT-500,Electrical,109176,1 year 8 mons 2 days
P025,CHN001,Cabin Glass CG-20,Cabin,110058,1 year 8 mons 2 days
P008,CHN001,Bucket Tooth BT-10,Attachments,108381,1 year 8 mons 2 days
P014,DEL001,Transmission Assembly TA-800,Transmission,111321,1 year 8 mons 2 days
P020,CHN001,Pivot Pin PP-12,Pins & Bushes,113260,1 year 8 mons 2 days
P020,HYD001,Pivot Pin PP-12,Pins & Bushes,102636,1 year 8 mons 2 days
P021,CHN001,Boom Cylinder BC-400,Hydraulic,100867,1 year 8 mons 2 days
P015,DEL001,Engine Block EB-600,Engine,100967,1 year 8 mons 2 days
P022,CHN001,Control Valve CV-75,Hydraulic,109061,1 year 8 mons 2 days
