product_id,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level,safety_stock,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,3/15/2019
P002,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,37.3,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,7/22/2019
P003,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,1/10/2020
P004,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,6/18/2020
P005,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,11/5/2020
P006,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,2/14/2021
P007,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,5/27/2021
P008,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,8/9/2021
P009,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,11/30/2021
P010,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,3/12/2022
P011,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,6/25/2022
P012,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,9/8/2022
P013,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,12/19/2022
P014,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,Volvo D8,68500,83500,21.8,28,260,190x60x55,steel,24,4,2,12,35,High,Low,set,67000,3/5/2023
P015,Engine Block EB-600,Engine,Excavator,Komatsu,Komatsu PC300,95500,119000,24.6,28,320,160x70x65,cast iron,24,3,2,8,40,High,Low,piece,94000,6/17/2023
P016,Radiator RD-250,Cooling,Loader,JCB,JCB 3DX,7800,10200,30.8,18,18,90x40x20,copper,12,20,10,60,16,Medium,Medium,piece,7600,9/28/2023
P017,Fan Belt FB-30,Belts,Excavator,Tata Hitachi,Tata Hitachi EX 110,320,520,62.5,18,0.25,80x3x3,rubber,6,50,25,150,5,Medium,High,piece,310,12/11/2023
P018,Wheel Rim WR-24,Undercarriage,Bulldozer,CAT,CAT D6R,8200,11300,37.8,28,24,70x25x25,steel,12,12,6,30,20,High,Medium,piece,8000,2/20/2024
P019,Swing Motor SWM-350,Hydraulic,Excavator,Volvo,Volvo EC210,31200,39800,27.6,28,36,55x25x25,steel,12,6,3,15,24,High,Medium,piece,30500,5/3/2024
P020,Pivot Pin PP-12,Pins & Bushes,Excavator,JCB,JCB 3DX,750,1150,53.3,18,0.9,18x6x6,steel,6,90,45,250,8,Medium,High,piece,720,7/19/2024
P021,Boom Cylinder BC-400,Hydraulic,Excavator,Komatsu,Komatsu PC210,35600,46200,29.8,28,48,130x18x18,steel,12,5,3,20,26,High,Medium,piece,35000,9/30/2024
P022,Control Valve CV-75,Hydraulic,Excavator,CAT,CAT 320D,12800,16900,32,28,7.8,35x25x20,steel,12,10,5,30,18,High,Medium,piece,12500,11/22/2024
P023,Idler Wheel IW-55,Undercarriage,Bulldozer,Volvo,Volvo D6,9200,12950,40.8,28,21,60x25x25,steel,12,6,3,18,20,High,Medium,piece,9000,1/15/2025
P024,Track Roller TR-60,Undercarriage,Bulldozer,Tata Hitachi,Tata Hitachi EX 200,7400,10300,39.2,28,19.5,55x22x22,steel,12,8,4,22,22,High,Medium,piece,7200,3/8/2025
P025,Cabin Glass CG-20,Cabin,Excavator,JCB,JCB 3DX,5600,7850,40.2,18,8,120x5x2,glass,6,12,6,40,14,Medium,Low,piece,5400,4/27/2025
P026,Grease Cartridge GC-5,Lubricants,All,Generic,All Models,180,310,72.2,18,0.45,25x6x6,synthetic,3,200,100,500,4,Low,High,cartridge,170,4/2/2020
P027,O-Ring Set OR-50,Seals,All,Generic,All Models,260,480,84.6,18,0.2,8x8x4,rubber,3,150,80,400,5,Low,High,set,250,9/14/2021
P028,Light Assembly LA-18,Electrical,Loader,Generic,JCB 3DX,1450,2250,55.2,18,1.4,22x16x14,plastic,6,40,20,100,9,Medium,Medium,piece,1380,2/18/2022
P029,Pressure Sensor PS-90,Sensors,Excavator,CAT,CAT 320D,2750,3950,43.6,18,0.6,10x8x6,steel,6,25,12,60,8,Medium,Medium,piece,2650,1/9/2023
P030,Fuel Pump FP-350,Engine,Excavator,Volvo,Volvo EC210,16400,21900,33.5,28,6.8,30x18x18,alloy,12,10,5,25,18,High,Medium,piece,16000,8/21/2024
