po_id,supplier_id,branch_id,order_date,expected_delivery_date,received_date,po_status,total_cost,total_gst_amount,grand_total
PO-141186,SUP0001,PUN001,4/10/2019,4/29/2019,4/29/2019,Received,22955232.11,6427464.991,29382697.1
PO-215234,SUP0005,DEL001,12/30/2020,1/27/2021,1/27/2021,Received,19406544.39,5428358.444,24834902.83
PO-296826,SUP0008,AHM001,4/5/2022,5/1/2022,5/1/2022,Received,1295425.79,362719.2212,1658145.011
PO-700652,SUP0004,AHM001,7/29/2019,8/16/2019,8/17/2019,Received,38753295.34,10803118.14,49556413.48
PO-120358,SUP0004,DEL001,5/14/2024,6/1/2024,6/1/2024,Received,614701.45,110646.261,725347.711
PO-975383,SUP0005,AHM001,11/1/2021,11/29/2021,11/29/2021,Received,122764.17,22097.5506,144861.7206
PO-699883,SUP0007,DEL001,8/7/2019,8/19/2019,8/19/2019,Received,5345955.88,1395145.116,6741100.996
PO-310142,SUP0003,CHN001,2/29/2020,3/16/2020,3/16/2020,Received,16578752.6,4385121.575,20963874.18
PO-251676,SUP0008,CHN001,3/31/2021,4/26/2021,4/26/2021,Received,12805178.43,3574206.416,16379384.85
PO-299240,SUP0003,CHN001,11/24/2024,12/10/2024,12/10/2024,Received,6469409.87,1756206.182,8225616.052
PO-818082,SUP0006,HYD001,3/29/2020,4/8/2020,4/8/2020,Received,5511514.27,1543223.996,7054738.266
PO-673963,SUP0006,CHN001,3/8/2019,3/18/2019,3/18/2019,Received,11124174.56,3112737.013,14236911.57
PO-743179,SUP0003,AHM001,4/14/2024,4/30/2024,4/30/2024,Received,18236726.14,5012752.167,23249478.31
PO-502470,SUP0002,AHM001,6/3/2020,6/13/2020,6/10/2020,Received,10581773.54,2799234.157,13381007.7
PO-830379,SUP0002,PUN001,9/3/2022,9/13/2022,9/13/2022,Received,5920683.7,1634029.584,7554713.284
PO-525153,SUP0005,HYD001,10/10/2019,11/7/2019,,Cancelled,8461140.88,2270840.422,10731981.3
PO-735626,SUP0007,DEL001,10/1/2023,10/13/2023,10/13/2023,Received,44521.33,8013.8394,52535.1694
PO-951669,SUP0007,HYD001,4/3/2019,4/15/2019,4/20/2019,Received,27471534.97,7692029.792,35163564.76
PO-470868,SUP0006,HYD001,10/31/2023,11/10/2023,11/10/2023,Received,26685330.22,7384160.742,34069490.96
PO-496896,SUP0006,PUN001,8/7/2021,8/17/2021,8/17/2021,Received,1553902.1,427980.072,1981882.172
PO-821311,SUP0006,HYD001,4/15/2020,4/25/2020,,Cancelled,432693.48,121154.1744,553847.6544
PO-171706,SUP0002,AHM001,11/21/2020,12/1/2020,,Cancelled,15795288.26,4235064.354,20030352.61
PO-774463,SUP0002,CHN001,10/5/2020,10/15/2020,10/15/2020,Received,4857242.85,1293832.321,6151075.171
PO-263864,SUP0008,HYD001,6/29/2021,7/25/2021,7/25/2021,Received,2729129.4,634870.208,3363999.608
PO-477755,SUP0004,AHM001,12/14/2020,1/1/2021,,Cancelled,10169288.25,2839404.126,13008692.38
PO-217806,SUP0008,AHM001,11/29/2022,12/25/2022,12/25/2022,Received,25616094.02,7144305.579,32760399.6
